name,address,phone,type,delivery_route,beat_name,team_id
"FASHION CENTER","PALTAN BAZAR, NEAR KOTWALI","+917579011739","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"GOPAL GEN. STORE","HANUMAN CHOWK, HANUMAN CHOWK","+919897864704","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"ASHU","HANUMAN CHOWK, HANUMAN CHOWK","+919897437386","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"BHAWANI GEN STORE","HANUMAN CHOWK, HANUMAN CHOWK","+917505002839","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"VASHU TRADERS","HANUMAN CHOWK, HANUMAN CHOWK","+919411730865","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"ROHIT GEN STORE","EC ROAD, OLD SURVEY ROAD","+918449221553","General Trade","KARANPUR","KARANPUR",MA
"NEW DOON CHEMIST","KARANPUR, OPP JINDAL PROV","+919897225766","General Trade","KARANPUR","KARANPUR",MA
"BISHT DAIRY","VASANT VIHAR, PANDIT WARI ROAD","+919760222180","General Trade","PANDITVARI","PANDITVARI",MA
"BADRI VISHAL MEDICAL STORE","DAKRA, DAKRA","+919897213026","General Trade","KAULAGARH","KAULAGARH",MA
"DEEP MEDICOS","PREM NAGAR, ARYA SAMAJ MANDIR","+919808303309","General Trade","PREM NAGAR","PREM NAGAR",MA
"KUM KUM COSMETICS","KANWALI ROAD, KANWALI ROAD","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"GHAWA JI","JHANDA BAZAR, JHANDA BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"MALHOTRA MEDICAL","GMS ROAD, BALLIWALA CHOWK","+917351955119","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"DRONA MEDICAL","GMS ROAD, BALLUPUR CHOWK","+919756506915","General Trade","KAULAGARH","KAULAGARH",MA
"AMAN FASHION CORNER","KOTWALI, KOTWALI","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"SAHARANPUR TRADERS UR","DHAMAWALA","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"SHEEL PROV","RAJPUR, RAJPUR","+919193171089","General Trade","ZSHOP CLOSED","ZSHOP CLOSED",MA
"DEEPAK GEN STORE","DHARAMPUR, AGGARWAL MEDICAL","+919837383329","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"ANKIT GEN STORE","DHARAMPUR, NEAR HOTEL HIM LOK","+919259163672","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"DEVI DAYAL","PREMNAGAR, PREMNAGAR","+919997412596","General Trade","PREM NAGAR","PREM NAGAR",MA
"PISHORI LAL & SONS","PREMNAGAR, PREMNAGAR","+918218118797","General Trade","PREM NAGAR","PREM NAGAR",MA
"SONU KANGAN","PREMNAGAR, PREMNAGAR","+919897482826","General Trade","PREM NAGAR","PREM NAGAR",MA
"LAXMI STORE","HANUMAN CHOWK, BHANDARI CHOWK","+919897254027","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"PRAGATI GEN STORE","CHAKRATA ROAD, NEAR SNOW WHITE DRYCLEANERS","+919412369376","General Trade","PANDITVARI","PANDITVARI",MA
"S K PROV STORE","DAKRA, BIRPUR ROAD","+918954567723","General Trade","KAULAGARH","KAULAGARH",MA
"SUBHAGA MEDICAL","RACE COURSE, DOBHI CHOWK","+919997307163","General Trade","RACE COURSE","RACE COURSE",MA
"OM MEDICAL","AJABPUR KALA, NEAR CHANDRA MART","+918006973777","General Trade","RACE COURSE","RACE COURSE",MA
"KRISHNA KANGAN","PALTAN BAZAR, OPP RAMA MARKET","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"MAHAWAR STORE","EC ROAD, DWARKA CHOWK","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"BADOLA MEDICAL","MOHKAMPUR, FLYOVER KE NICHE","+919358135787","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"LIFE CARE MEDICAL","RAMADA HOTEL, CHAKRATA ROAD","+918979867396","General Trade","PANDITVARI","PANDITVARI",MA
"SHREE AMARNATH MEDICAL","GMS ROAD, BALLUPUR CHOWK","+918077606879","General Trade","ZNPA","ZNPA",MA
"BHARDWAJ MEDICAL","SEEMA DWAR, ITBP ROAD INDIRA NAGAR","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"BHAGWATI STORE","ITBP ROAD, INDER NAGAR PHASE - 2","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"R M TRADER","ITBP ROAD, SEEMA DWAR","+919760504432","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"VISHAL DEPT. STORE","KARGI, MOTHROWALA ROAD, DE RAHA THA. SHOP CLOSED FOREVER","+919997979195","General Trade","Unassigned","Unassigned",MA
"SHIVA GEN STORE","THDC COLONY, THDC COLONY","+919267406285","General Trade","DEHRA KHAS","DEHRA KHAS",MA
"MAMTA MEDICOS","NIRANJPUR MANDI, MANDI","+919897483216","General Trade","DEHRA KHAS","DEHRA KHAS",MA
"SINGHAL MEDICAL","SUBHASH NAGAR, CLEMENT TOWN","+917895243701","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"ARIHANT STORE","POST OFFICE ROAD, CLEMENT TOWN","+919758686951","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"AGGARWAL PROV","POST OFFICE, LANE 11 OPP. GATE NO 2","","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"SHREE GANPATI STORE","POST OFFICE, CLEMENT TOWN","","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"LAVDESH GEN STORE","DHARAMPUR, MATA MANDIR ROAD STARTING POINT","+919897949698","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"SAMBHAVI MEDICAL","DHARAMPUR, NEAR PNB ICICI BANK","+919412147962","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"GAYATRI MEDICAL","RING ROAD, RING ROAD","+919690091874","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"RAWAT GEN STORE","RING ROAD, OPP SAILY MEDICAL","+919410148937","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"BATRA","RAJPUR, RAJPUR","","General Trade","RAJPUR UPPER","RAJPUR UPPER",MA
"RAM AVTAR","RAJPUR, GUPTA GEN STORE RAJPUR","","General Trade","RAJPUR UPPER","RAJPUR UPPER",MA
"GUPTA ENTERPRISES","RAMADA HOTEL, CHAKRATA ROAD","+919897859776","General Trade","PANDITVARI","PANDITVARI",MA
"AFFAIRS PHARMACY PLUS","ITBP ROAD, NEAR VIKAS MALL","+910135606733","General Trade","PREM NAGAR","PREM NAGAR",MA
"BALAJI MEDICOS","ITBP ROAD, NEAR VIKAS MALL","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"MANWAL GEN STORE","CLEMENT TOWN, NEAR OBC BANK","+919756910491","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"PRAGATI STORE","ITBP ROAD, ITBP ROAD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"ADRIKA STORE","ITBP ROAD, ITBP RAOD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"MAHAVEER STORE","YAMUNA COLONY, YAMUNA COLONY","+919927336289","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"KHANDELWAL COSMETICS","DAKRA, DAKRA","+919319705506","General Trade","KAULAGARH","KAULAGARH",MA
"ASWAL BAKERS","RAIPUR, RAIPUR CHOWK","+918006409856","General Trade","RAIPUR","RAIPUR",MA
"BHAJJI DI HATTI","PALTAN BAZAR, PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"SHRINGARIKA THE GIFT SHOP","DHARAMPUR","+919997451434","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"ARVIND MEDICAL STORE","DHARAMPUR, DHARAMPUR","+917906509481","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"GRACE BEAUTY COLL","RACE COURSE, NEAR JIYA MEDICAL","+918126044321","General Trade","RACE COURSE","RACE COURSE",MA
"MAA GAYATRI MEDICAL","RING ROAD, NEAR 6. NO PULIYA","","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"MAHAWAR PROV STORE","MOHKAMPUR, MOHKAMPUR FLYOVER KE NICHE","+919897223519","General Trade","MOHKAMPUR","MOHKAMPUR",MA
"SHRINGAR EMPORIUM","NEW CANTT ROAD, HATHIBARKALA","+918630494695","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"JAISWAL BAKERS","VIJAY PARK COLONY, VIJAY PARK COLONY","+919927770094","General Trade","PANDITVARI","PANDITVARI",MA
"RASTOGI TRADERS","YAMUNA COLONY, YAMUNA COLONY","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"FASHION COLOR COSMETIC","MATAMANDIR, SANA COSMETIC MATA MANDIR ROAD","+919760786787","General Trade","RACE COURSE","RACE COURSE",MA
"GUPTA MEDICAL","RAJPUR RD, DILARAM BAZAR","+917983198173","General Trade","RAJPUR LOWER","RAJPUR LOWER",MA
"OLD LAKHI RAM GEN STORE","KAULAGARH, CHAKROTA ROAD","","General Trade","PANDITVARI","PANDITVARI",MA
"PRATEEK ASSOCIATES","SAI LOK PHASE - II","+917500242921","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"RAGHUWAR MEDICAL","PREMNAGAR, THAKURPUR","+919720408152","General Trade","PREM NAGAR","PREM NAGAR",MA
"SHIV KRIPA COSMETIC","SUBHASH NAGAR, NEAR GARG GEN STORE","+918755710199","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"WELCOME STORE","POST OFFICE ROAD, NEAR BUDDHA TEMPLE","","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"BEAUTY PALACE","ANURAG CHOWK, CAPITAL SWEETS KE PICHE","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"MADHU MEDICOS","PREMNAGAR, PREMNAGAR","+919760122616","General Trade","PREM NAGAR","PREM NAGAR",MA
"DWARIKA STORE","EC ROAD, EC ROAD","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"URVASHI COLLECTION","HATHIBARKLA, NEW CANTT ROAD","+919719965344","General Trade","ZNPA","ZNPA",MA
"SHREE SHYAM PROVISION & GEN STORE","RAJENDER NAGAR","+918126034445","General Trade","PANDITVARI","PANDITVARI",MA
"CHOCOLATE CORNER","RAJPUR ROAD, RAJPUR ROAD","+919412052797","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"SWAGAT SUPER STORE","GMS ROAD, SAI LOK GMS ROAD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"VISHAL SAXENA","NIVEA","","General Trade","ZOTHER","ZOTHER",MA
"AYODHAMAL","PALTAN BAZAR, DHAMAWALA","","General Trade","PALTAN BAZAR","PALTAN BAZAR",MA
"J A MEDICAL","POST OFFICE ROAD, CHAR KHAMBA","+919897252840","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"ASHA PHARMACY","JOGGIWALA, JOGGIWALA","+919412054474","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
"SUSTEN RETAIL","KARANPUR, DL ROAD","+919953520226","General Trade","KARANPUR","KARANPUR",MA
"CHAUHAN DEPT. STORE","DHARAMPUR, DHARAMPUR","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"HIMGIRI STORE","TURNER ROAD, NEAR LANE C-19 ON TURNER ROAD","+919897945887","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"GURU KRIPA BANGLE STORE","PREMNAGAR, PREM NAGAR","+919219737739","General Trade","PREM NAGAR","PREM NAGAR",MA
"MUKUL TRADERS","HANUMAN CHOWK, HANUMAN CHOWK","+917983678752","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"NAVEEN STORE","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"DEEP STORE","RAJPUR ROAD, RAJPUR ROAD","+919536515151","General Trade","RAJPUR UPPER","RAJPUR UPPER",MA
"POONAM GEN STORE","KARANPUR, KARANPUR","+919927244589","General Trade","KARANPUR","KARANPUR",MA
"VINAYAK CROCKERY","GMS ROAD, BALLUPUR","+918755920003","General Trade","KAULAGARH","KAULAGARH",MA
"AGGARWAL STORE","SARASWATI VIHAR, HATHIBARKALA","+917017649779","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"DAKSH COSMETICS","PREMNAGAR, PREMNAGAR","+917983293146","General Trade","PREM NAGAR","PREM NAGAR",MA
"ASHWANI AGENCIES","MOTI BAZAR, MOTI BAZAR","+918267011120","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"PERFECT PRICE STORE","DAKRA, DAKRA","+919557637007","General Trade","KAULAGARH","KAULAGARH",MA
"S A ENTERPRISES","ITBP ROAD, INDIRA NAGAR","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"KUMAR AGENCIES","DARSHINI GATE, HANUMAN CHOWK","+918126646889","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"SHREE SHYAM STORE","POOJA VIHAR, CLEMENT TOWN","+919259121941","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",MA
"DOON BANGLE","JHANDA BAZAR, JHANDA MARKET","+919760349434","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"NARESH PRO STORE","KEDDARPURAM, MDDA","+919897353355","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
"TRENZ GIFT & FASHION ARCADE","DHARAMPUR","+919897455133","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
"JAGDAMBA STORES","CLEMENT TOWN, CLEMENT TOWN","+919690098430","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"INDRA PROV STORE","RACE COURSE, DOBHI CHOWK SE ANDER","+919897092529","General Trade","RACE COURSE","RACE COURSE",MA
"SUNIL COSMETICS","RAIPUR, RAIPUR ROAD","+918279323772","General Trade","RAIPUR","RAIPUR",MA
"GUPTA BAKERS & GENERAL STORE","BALLUPUR CHOWK","+919634300374","General Trade","KAULAGARH","KAULAGARH",MA
"GOVINDA STORE","GOVIND GARH, GOVIND GARH","+919359206387","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"KUNAL PRO STORE","PATEL NAGAR, OPP GULATI SWEETS SHOP","","General Trade","Unassigned","Unassigned",MA
"THE NEST REAL WORLD","CLEMENT TOWN, GURU NANAK ROAD","+919410359644","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"CHAUDHARY GEN","SUBHASH NAGAR, PRADEEP CHAUDHARY SUBHASH NAGAR","","General Trade","CLEMENT TOWN","CLEMENT TOWN",MA
"SHREE RAMA MEDICAL","KEDARPURAM, KEDARPURAM","+919897258779","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
"POOJA GEN STORE","PREMNAGAR, PREM NAGAR","","General Trade","PREM NAGAR","PREM NAGAR",MA
"NARENDR MEDICOS","SAHARANPUR CHOWK, SAHARANPUR CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"KANHA JI","ANURAG CHOWK, ANURAG CHOWK","+918909708877","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"LAXMI MEDICAL STORE","MATA MANDIR, AFTER RAILWAY CROSSING","+918006435816","General Trade","RACE COURSE","RACE COURSE",MA
"KIRAN MEGA MARKET","PREM NAGAR, PREM NAGAR","+916399760001","General Trade","PREM NAGAR","PREM NAGAR",MA
"SAI GOODS","NESHVILLA ROAD, NESHVILLA ROAD","+918755458013","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"GUPTA PRO STORE","DHARAMPUR, NEHRU COLONY","+919758187983","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
"NEEDS CASH AND CARRY","OPP SIRMOUR MARG RAJENDRA NAGAR","+919557771117","General Trade","ZSHOP CLOSED","ZSHOP CLOSED",MA
"ADARSH BAKERS","RAIPUR, RAIPUR","+919756104979","General Trade","RAIPUR","RAIPUR",MA
"SATENDER SINGH RAWAT","DHARAMPUR, NEAR REWTI NURSING HOME","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"EXPIRY FROM NIVEA","1, GODOWN","","General Trade","ZRING ROAD","ZRING ROAD",MA
"MAHAVEER STORE","MITRALOK COLONY, MITRALOK COLONY","+919927336289","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"ELEGANCE","SHARNIMAL BAZAR, SHARNIMAL BAZAR","","General Trade","ZNPA","ZNPA",MA
"NEW PRAKASH","KARANPUR, CEMENT ROAD","+919897015112","General Trade","KARANPUR","KARANPUR",MA
"ADITIYA DEPT. STORE","PANDITVARI, PANDITVARI","+919410975091","General Trade","PANDITVARI","PANDITVARI",MA
"DURGA STORE'S","6A-INDER ROAD","","General Trade","DHARAMPUR 2nd","DHARAMPUR 2nd",MA
"BALODI MEDICOS","NESHVILLA ROAD, NEAR GOL CHAKKAR","+919870671384","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",MA
"OM THE DAILY NEEDS","CHANDRABANI, NEAR ADASHI HEALTHCARE","+919557149281","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",MA
"MAHAVEER MEDICAL","TILAK ROAD, TILAK ROAD","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",MA
"VERMA GEN STORE","GOVIND GARH, GOVIND GARH","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",MA
"BEST DEAL","JOGGIWALA, NAKRONDA ROAD","+919411530515","General Trade","FUWARA CHOWK","FUWARA CHOWK",MA
