name,address,phone,type,delivery_route,team_id
"MANOHAR LAL GULSHAN KUMAR","DHAMA WALA","","General Trade","HANUMAN CHOWK",MA
"FRESH N EASY","CROSS ROAD MALL","9634274290","General Trade","F N E",MA
"GULATI GEN STORE - PALTAN BAZAR","PALTAN BAZAR","","General Trade","HANUMAN CHOWK",MA
"PATANJALI AYURVED LTD","""PADARTHA, HARIDWAR""","","General Trade","Unassigned",MA
"HARI PROV STORE - MOHINI ROAD","MOHINI ROAD ARAGHAR CHOWK","8635080598","General Trade","DHARAMPUR 2nd",MA
"GRAH SANGRAH STORE - FUWARA CHOWK","NEHRU COLONY","","General Trade","DHARAMPUR 2nd",MA
"SANJAY DEPT. STORE - NEW CANTT","""20-A, NEW CANTT ROAD""","05","General Trade","9837939221",MA
"VARIETY PALACE - NEW CANT ROAD","OPP PNB BANK NEW CANT ROAD","9897914731","General Trade","NESHVILLA ROAD",MA
"NEW AJANTA STORE - KAULAGARH","OPP SBI BANK, RAJENDER NAGAR","9897031955","General Trade","PANDITVARI",MA
"OLD SUPER STORE - KAULAGARH ROAD","NEAR PNB BANK","9897491520","General Trade","PANDITVARI",MA
"MINI STORE - PREM NAGAR","PREM NAGAR","8218371237","General Trade","PREM NAGAR",MA
"PANKAJ MEDICAL - PREM NAGAR","NEAR PNB BANK, PREM NAGAR","9897776551","General Trade","PREM NAGAR",MA
"SONI MEDICAL - PREM NAGAR","PREM NAGAR, NEAR GURUDUARA","9897133471","General Trade","PREM NAGAR",MA
"JAI GANESH FASHION ARCADE","""D-4, NEHRU COLONY, DEHRADUN""","Uttarakhand","General Trade","05",MA
"HANUBHAGA STORE - KARGI","TEA ESTATE 8126157505, KARGI","8126157505","General Trade","KARGI",MA
"MAHAWAR SONS - PALTAN BAZAR","PALTAN BAZAR 9897681584","","General Trade","PALTAN BAZAR",MA
"RAMOLA DEPARTMENTAL STORE - RAIPUR","GUJJROWALA CHOWK","9760345032","General Trade","RAIPUR",MA
"SRISHTI SUPER MARKET","NEAR IMA CHAKROTA ROAD","9897774900","General Trade","PANDITVARI",MA
"DEEPAK MEHNDI - PALTAN BAZAR","PALTAN BAZAR","","General Trade","PALTAN BAZAR",MA
"MANOHAR'S - PALTAN BAZAR","NEAR GAYLORD BAKERS, PALTAN BAZAR","","General Trade","PALTAN BAZAR",MA
"HR MEDICAL - TAPOVAN ROAD","TAPOVAN ROAD","9897558751","General Trade","RAIPUR",MA
"CHAWLA STORE - SD CROSSING","NEAR SATYARAJ MEDICOSE","9897860431","General Trade","SD ROAD",MA
"KUMAR SONS - EC ROAD","MUNCIPAL ROAD, EC ROAD","0135-2653100","General Trade","DHARAMPUR 2nd",MA
"CHETNA STORE - CANAL ROAD","OPP BALA SUNDRI MANDIR","9837288679","General Trade","RAJPUR LOWER",MA
"AVTAR STORE - KARANPUR","KARANPUR","9870812237","General Trade","KARANPUR",MA
"JINDAL PROV - KARANPUR","KARANPUR","9897909927","General Trade","KARANPUR",MA
"FAMINA COSMETIC - KARANPUR","KARANPUR","9997911195","General Trade","KARANPUR",MA
"SHIVA MEDICAL - DILARAM BAZAR","DILARAM BAZAR","9897255286","General Trade","RAJPUR LOWER",MA
"GOYAL STORE - CLEMENT TOWN","SHUBHASH NAGAR","9997911209","General Trade","CLEMENT TOWN",MA
"SHANTI PLASTIC - NESHVILLA ROAD","NESHVILLA ROAD","9897210771","General Trade","NESHVILLA ROAD",MA
"GUPTA STORE - SUBHASH NAGAR","SUBHASH NAGAR",""9897203223","General Trade","9897437777"",MA
"PERFECT VALUE - SHIMLA BYPASS","GMS ROAD SHIMLA BYPASS CHOWK","","General Trade","CLEMENT TOWN II",MA
"CITY CHEMIST - NEHRU COLONY","FUWARA CHOWK","","General Trade","DHARAMPUR 2nd",MA
"DEHRA GEN STORE - PALTAN BAZAR","NEAR KOTWALI","","General Trade","HANUMAN CHOWK",MA
"SWATANTRA FANCY - PALTAN BAZAR","OPP MANYAVAR SHOWROOM, PALTAN BAZAR","9897477233","General Trade","PALTAN BAZAR",MA
"SUBHASH DI HATTI - PALTAN BAZAR","DISPENSARY ROAD","","General Trade","HANUMAN CHOWK",MA
"SATISH PROV.STORE - KARGI","TARUN VIHAR - KEDARPURAM, NEAR UK GRAMIN BANK","9758777387","General Trade","KARGI",MA
"S MAHAWAR - KARGI","PATHRIBHAG CHOWK","9997222478","General Trade","KARGI",MA
"BRIJ PHARMA SALES - DHARAMPUR","ARAGHAR CHOWK","0135-2677050","General Trade","RACE COURSE",MA
"JUBLI DEPT STORE - TAPOVAN ROAD","TAPOVAN ROAD","9997420072","General Trade","RAIPUR",MA
"DURGA DEPARTMENTAL STORE","JHANDA BAZAR","7895645004","General Trade","HANUMAN CHOWK",MA
"JAI BADRI MEDICAL - RAIPUR ROAD","NEAR ASHISH PATANJALI","9837039019","General Trade","RAIPUR",MA
"UPPAL MEDICAL - PREM NAGAR","PREM NAGAR CHOWK","7500130000","General Trade","PREM NAGAR",MA
"BHATIYA HOMEO HALL - PREM NAGAR","PREM NAGAR","9760998568","General Trade","PREM NAGAR",MA
"SHIVA MEDICAL - PREM NAGAR","PREM NAGAR","9760619876","General Trade","PREM NAGAR",MA
"SHIKHA COSMETIC - PREM NAGAR","PREM NAGAR CHOWK, BHATIA SWEETS KE SATH","9528799699","General Trade","PREM NAGAR",MA
"HIMALAYAN MEDICAL - PREM NAGAR","PREM NAGAR CHOWK","","General Trade","PREM NAGAR",MA
"OM PRAKASH DINESH KUMAR- PANDITVARI","PANDITVARI","9412954141","General Trade","PANDITVARI",MA
"SHRINGAR COSMETICS - KAULAGARH","NEAR KUMAR STORE KAULAGARH","9997703540","General Trade","KAULAGARH",MA
"KAILASH STORE - DAKRA","NEARBY DD COLLEGE","9193249049","General Trade","KAULAGARH",MA
"BABA MEDICAL - DAKRA","DAKRA","8445553178","General Trade","KAULAGARH",MA
"KWALITY GALLERY - DAKRA","ALLAHABAD BANK","7088336666","General Trade","KAULAGARH",MA
"THE BEAUTY CORNER - RACE COURSE","NEAR NIRANKARI BHAWAN","9897255201","General Trade","RACE COURSE",MA
"PANWAR GEN STORE - RACE COURSE","DOBHI CHOWK","8755066427","General Trade","RACE COURSE",MA
"OM MATA MEDICAL - MATAWALI ROAD","MATA MANDIR ROAD",""8449066898","General Trade","9410379108"",MA
"SOMYA GIFT HOUSE - AJABPUR KALA","AJABPUR KALA","9410151856","General Trade","RACE COURSE",MA
"SINGH MEDICAL - AJABPURKALA","NEAR SOMYA COSMETICS","8192941288","General Trade","RACE COURSE",MA
"FASHION CENTER - PALTAN BAZAR","NEAR KOTWALI","7579011739","General Trade","HANUMAN CHOWK",MA
"GOPAL GEN. STORE - HANUMAN CHOWK","HANUMAN CHOWK","9897864704","General Trade","HANUMAN CHOWK",MA
"ASHU - HANUMAN CHOWK","HANUMAN CHOWK","9897437386","General Trade","HANUMAN CHOWK",MA
"BHAWANI GEN STORE - HANUMAN CHOWK","HANUMAN CHOWK","7505002839","General Trade","HANUMAN CHOWK",MA
"VASHU TRADERS - HANUMAN CHOWK","HANUMAN CHOWK","9411730865","General Trade","HANUMAN CHOWK",MA
"ROHIT GEN STORE - EC ROAD","OLD SURVEY ROAD","8449221553","General Trade","KARANPUR",MA
"CARE MEDICAL - DL ROAD","NEAR GURU DAIRY",""9389599123","General Trade","9412325700"",MA
"NEW DOON CHEMIST - KARANPUR","OPP JINDAL PROV, KARANPUR MARKET","9897225766","General Trade","KARANPUR",MA
"BISHT DAIRY - VASANT VIHAR","PANDIT WARI ROAD","9760222180","General Trade","PANDITVARI",MA
"MAHEK PROV STORE - JHAKHAN","NEARLY OPP TURTLE STORE, BEFORE MUSSORIE DIVERSION",""9827859608","General Trade","9897045557"",MA
"BADRI VISHAL MEDICAL STORE - DAKRA","DAKRA","9897213026","General Trade","KAULAGARH",MA
"DEEP MEDICOS - PREM NAGAR","ARYA SAMAJ MANDIR, PREM NAGAR","9808303309","General Trade","PREM NAGAR",MA
"KUM KUM COSMETICS - KANWALI ROAD","KANWALI ROAD","","General Trade","HANUMAN CHOWK",MA
"GHAWA JI - JHANDA BAZAR","JHANDA BAZAR","","General Trade","HANUMAN CHOWK",MA
"MALHOTRA MEDICAL - GMS ROAD","BALLIWALA CHOWK","7351955119","General Trade","ITBP-GOVIND GARH",MA
"DRONA MEDICAL - GMS ROAD","BALLUPUR CHOWK","9756506915","General Trade","KAULAGARH",MA
"AMAN FASHION CORNER - KOTWALI","KOTWALI","","General Trade","HANUMAN CHOWK",MA
"SAHARANPUR TRADERS UR","DHAMAWALA","","General Trade","HANUMAN CHOWK",MA
"SHEEL PROV - RAJPUR","RAJPUR","9193171089","General Trade","ZSHOP CLOSED",MA
"BAHUGUNA MEDICINE - ARAGHAR CHOWK","""57 B, ARAGHAR CHOWK, HARIDWAR ROAD""","","General Trade","Uttarakhand",MA
"DEEPAK GEN STORE - DHARAMPUR","AGGARWAL MEDICAL, DHARAMPUR CHOWK","9837383329","General Trade","DHARAMPUR 2nd",MA
"ANKIT GEN STORE - DHARAMPUR","NEAR HOTEL HIM LOK","9259163672","General Trade","DHARAMPUR 2nd",MA
"DEVI DAYAL - PREMNAGAR","PREMNAGAR","9997412596","General Trade","PREM NAGAR",MA
"PISHORI LAL & SONS - PREMNAGAR","PREMNAGAR","8218118797","General Trade","PREM NAGAR",MA
"SONU KANGAN - PREMNAGAR","PREMNAGAR","9897482826","General Trade","PREM NAGAR",MA
"LAXMI STORE - HANUMAN CHOWK","BHANDARI CHOWK, OPP FLOWER SHOP","9897254027","General Trade","HANUMAN CHOWK",MA
"PRAGATI GEN STORE - CHAKRATA ROAD","NEAR SNOW WHITE DRYCLEANERS","9412369376","General Trade","PANDITVARI",MA
"S K PROV STORE - DAKRA","BIRPUR ROAD","8954567723","General Trade","KAULAGARH",MA
"SUBHAGA MEDICAL - RACE COURSE","DOBHI CHOWK","9997307163","General Trade","RACE COURSE",MA
"OM MEDICAL - AJABPUR KALA","NEAR CHANDRA MART","8006973777","General Trade","RACE COURSE",MA
"KRISHNA KANGAN - PALTAN BAZAR","OPP RAMA MARKET","","General Trade","HANUMAN CHOWK",MA
"MAHAWAR STORE - EC ROAD","DWARKA CHOWK","","General Trade","DHARAMPUR 2nd",MA
"BADOLA MEDICAL - MOHKAMPUR","FLYOVER KE NICHE","9358135787","General Trade","MOHKAMPUR",MA
"LIFE CARE MEDICAL - RAMADA HOTEL","CHAKRATA ROAD","8979867396","General Trade","PANDITVARI",MA
"SHREE AMARNATH MEDICAL - GMS ROAD","BALLUPUR CHOWK","8077606879","General Trade","ZNPA",MA
"BHARDWAJ MEDICAL - SEEMA DWAR","ITBP ROAD INDIRA NAGAR","","General Trade","ITBP-GOVIND GARH",MA
"BHAGWATI STORE - ITBP ROAD","INDER NAGAR PHASE - 2","","General Trade","ITBP-GOVIND GARH",MA
"R M TRADER - ITBP ROAD","SEEMA DWAR","9760504432","General Trade","ITBP-GOVIND GARH",MA
"VISHAL DEPT. STORE - KARGI","MOTHROWALA ROAD, 2021 EXPIRED KO MANA KARNE PE GALI, DE RAHA THA. SHOP CLOSED FOREVER","9997979195","General Trade","Unassigned",MA
"KRISHNA GIFT & COSMETICS - THDC","THDC COLONY",""7302154833","General Trade","9410595319"",MA
"SHIVA GEN STORE - THDC COLONY","THDC COLONY","9267406285","General Trade","DEHRA KHAS",MA
"MAMTA MEDICOS - NIRANJPUR MANDI","MANDI","9897483216","General Trade","DEHRA KHAS",MA
"MAHAVEER MEDICAL - MANDI","NIRANJANPUR MANDI",""7534808181","General Trade","9761329907"",MA
"SINGHAL MEDICAL - SUBHASH NAGAR","CLEMENT TOWN","7895243701","General Trade","CLEMENT TOWN",MA
"ARIHANT STORE - POST OFFICE ROAD","CLEMENT TOWN","9758686951","General Trade","CLEMENT TOWN",MA
"AGGARWAL PROV - POST OFFICE","LANE 11 OPP. GATE NO 2","","General Trade","CLEMENT TOWN",MA
"SHREE GANPATI STORE - POST OFFICE","CLEMENT TOWN","","General Trade","CLEMENT TOWN",MA
"LAVDESH GEN STORE - DHARAMPUR","MATA MANDIR ROAD STARTING POINT","9897949698","General Trade","DHARAMPUR 2nd",MA
"SAMBHAVI MEDICAL - DHARAMPUR","NEAR PNB ICICI BANK","9412147962","General Trade","DHARAMPUR 2nd",MA
"M S MEDICAL HALL - DOBHAL CHOWK","DOBHAL CHOWK",""9027973244","General Trade","9634582442"",MA
"GAYATRI MEDICAL - RING ROAD","RING ROAD","9690091874","General Trade","MOHKAMPUR",MA
"RAWAT GEN STORE - RING ROAD","OPP SAILY MEDICAL","9410148937","General Trade","MOHKAMPUR",MA
"BATRA - RAJPUR","RAJPUR","","General Trade","RAJPUR UPPER",MA
"RAM AVTAR - RAJPUR","GUPTA GEN STORE RAJPUR","","General Trade","RAJPUR UPPER",MA
"GUPTA ENTERPRISES - RAMADA HOTEL","CHAKRATA ROAD","9897859776","General Trade","PANDITVARI",MA
"AFFAIRS PHARMACY PLUS - ITBP ROAD","NEAR VIKAS MALL","0135-6067333","General Trade","PREM NAGAR",MA
"BALAJI MEDICOS - ITBP ROAD","NEAR VIKAS MALL","","General Trade","ITBP-GOVIND GARH",MA
"MANWAL GEN STORE - CLEMENT TOWN","NEAR OBC BANK, POST OFFICE ROAD","9756910491","General Trade","CLEMENT TOWN",MA
"PRAGATI STORE - ITBP ROAD","ITBP ROAD","","General Trade","ITBP-GOVIND GARH",MA
"ADRIKA STORE - ITBP ROAD","ITBP RAOD, INDIRA NAGAR","","General Trade","ITBP-GOVIND GARH",MA
"MAHAVEER STORE - YAMUNA COLONY","YAMUNA COLONY","9927336289","General Trade","ITBP-GOVIND GARH",MA
"KHANDELWAL COSMETICS - DAKRA","DAKRA","9319705506","General Trade","KAULAGARH",MA
"ASWAL BAKERS - RAIPUR","RAIPUR CHOWK","8006409856","General Trade","RAIPUR",MA
"BHAJJI DI HATTI - PALTAN BAZAR","PALTAN BAZAR","","General Trade","PALTAN BAZAR",MA
"HEALTH N CARE PHARMACY - BALBIRROAD","""NEAR DENA BANK, BALBIR ROAD""","05","General Trade","9808121706",MA
"NEW STORE - DHARAMPUR","""NEAR DENA BANK, BALBIR ROAD""","05","General Trade","0135-2673096",MA
"SHRINGARIKA THE GIFT SHOP","DHARAMPUR","9997451434","General Trade","DHARAMPUR 2nd",MA
"ARVIND MEDICAL STORE - DHARAMPUR","DHARAMPUR","7906509481","General Trade","DHARAMPUR 2nd",MA
"GRACE BEAUTY COLL - RACE COURSE","NEAR JIYA MEDICAL, CHANDRA NAGAR ROAD","8126044321","General Trade","RACE COURSE",MA
"MAA GAYATRI MEDICAL - RING ROAD","NEAR 6. NO PULIYA","","General Trade","MOHKAMPUR",MA
"MAHAWAR PROV STORE - MOHKAMPUR","MOHKAMPUR FLYOVER KE NICHE","9897223519","General Trade","MOHKAMPUR",MA
"SHRINGAR EMPORIUM - NEW CANTT ROAD","HATHIBARKALA","8630494695","General Trade","NESHVILLA ROAD",MA
"JAISWAL BAKERS - VIJAY PARK COLONY","VIJAY PARK COLONY","9927770094","General Trade","PANDITVARI",MA
"RASTOGI TRADERS - YAMUNA COLONY","YAMUNA COLONY","","General Trade","ITBP-GOVIND GARH",MA
"FASHION COLOR COSMETIC - MATAMANDIR","SANA COSMETIC MATA MANDIR ROAD","9760786787","General Trade","RACE COURSE",MA
"GUPTA MEDICAL - RAJPUR RD","DILARAM BAZAR","7983198173","General Trade","RAJPUR LOWER",MA
"OLD LAKHI RAM GEN STORE - KAULAGARH","CHAKROTA ROAD","","General Trade","PANDITVARI",MA
"PRATEEK ASSOCIATES","SAI LOK PHASE - II, GMS ROAD","7500242921","General Trade","ITBP-GOVIND GARH",MA
"RAGHUWAR MEDICAL - PREMNAGAR","THAKURPUR","9720408152","General Trade","PREM NAGAR",MA
"SHIV KRIPA COSMETIC - SUBHASH NAGAR","NEAR GARG GEN STORE","8755710199","General Trade","CLEMENT TOWN",MA
"WELCOME STORE - POST OFFICE ROAD","NEAR BUDDHA TEMPLE","","General Trade","CLEMENT TOWN",MA
"BABU GEN STORE - PANDITVADI","""OPP KOTWALI, PANDITVARI""","05","General Trade","9897859606",MA
"BEAUTY PALACE - ANURAG CHOWK","CAPITAL SWEETS KE PICHE, ANURAG CHOWK","","General Trade","ITBP-GOVIND GARH",MA
"MADHU MEDICOS - PREMNAGAR","PREMNAGAR","9760122616","General Trade","PREM NAGAR",MA
"DWARIKA STORE - EC ROAD","EC ROAD","","General Trade","DHARAMPUR 2nd",MA
"URVASHI COLLECTION - HATHIBARKLA","NEW CANTT ROAD","9719965344","General Trade","ZNPA",MA
"SHREE SHYAM PROVISION & GEN STORE","RAJENDER NAGAR, KAULAGARH ROAD","8126034445","General Trade","PANDITVARI",MA
"CHOCOLATE CORNER - RAJPUR ROAD","RAJPUR ROAD","9412052797","General Trade","NESHVILLA ROAD",MA
"SWAGAT SUPER STORE - GMS ROAD","SAI LOK GMS ROAD","","General Trade","ITBP-GOVIND GARH",MA
"VISHAL SAXENA","NIVEA","","General Trade","ZOTHER",MA
"AYODHAMAL - PALTAN BAZAR","DHAMAWALA","","General Trade","PALTAN BAZAR",MA
"J A MEDICAL - POST OFFICE ROAD","CHAR KHAMBA","9897252840","General Trade","CLEMENT TOWN",MA
"ASHA PHARMACY - JOGGIWALA","JOGGIWALA","9412054474","General Trade","FUWARA CHOWK",MA
"SUSTEN RETAIL - KARANPUR","DL ROAD","9953520226","General Trade","KARANPUR",MA
"CHAUHAN DEPT. STORE - DHARAMPUR","DHARAMPUR","","General Trade","DHARAMPUR 2nd",MA
"MAANAS MEDCINE HOUSE - YAMUNA COLON","139/1-CHAKROTA ROAD, ""OPP. PNB BANK, YAMUNA COLONY""","05","General Trade","7579189933",MA
"HIMGIRI STORE - TURNER ROAD","NEAR LANE C-19 ON TURNER ROAD","9897945887","General Trade","CLEMENT TOWN",MA
"GURU KRIPA BANGLE STORE - PREMNAGAR","PREM NAGAR","9219737739","General Trade","PREM NAGAR",MA
"MUKUL TRADERS - HANUMAN CHOWK","HANUMAN CHOWK","7983678752","General Trade","HANUMAN CHOWK",MA
"NAVEEN STORE - HANUMAN CHOWK","HANUMAN CHOWK","","General Trade","HANUMAN CHOWK",MA
"DEEP STORE - RAJPUR ROAD","RAJPUR ROAD","9536515151","General Trade","RAJPUR UPPER",MA
"POONAM GEN STORE - KARANPUR","KARANPUR","9927244589","General Trade","KARANPUR",MA
"VINAYAK CROCKERY - GMS ROAD","BALLUPUR","8755920003","General Trade","KAULAGARH",MA
"AGGARWAL STORE - SARASWATI VIHAR","HATHIBARKALA","7017649779","General Trade","NESHVILLA ROAD",MA
"DAKSH COSMETICS - PREMNAGAR","PREMNAGAR","7983293146","General Trade","PREM NAGAR",MA
"ASHWANI AGENCIES - MOTI BAZAR","MOTI BAZAR","8267011120","General Trade","NESHVILLA ROAD",MA
"PERFECT PRICE STORE - DAKRA","DAKRA","9557637007","General Trade","KAULAGARH",MA
"S A ENTERPRISES - ITBP ROAD","INDIRA NAGAR, ITBP ROAD- VASANT VIHAR","","General Trade","ITBP-GOVIND GARH",MA
"KISHAN STORE - SEWLA KALA","SEWLA KALA",""7895144414","General Trade","9760502000"",MA
"KUMAR AGENCIES - DARSHINI GATE","HANUMAN CHOWK","8126646889","General Trade","HANUMAN CHOWK",MA
"LAXMI GIFT & COSM - 6 NO PULIYA","""NEAR 6 NO PULIYA, NEAR DOBHAL CHOWK""","05","General Trade",""8057888928",MA
"SHREE SHYAM STORE - POOJA VIHAR","CLEMENT TOWN","9259121941","General Trade","CLEMENT TOWN II",MA
"DOON BANGLE - JHANDA BAZAR","JHANDA MARKET","9760349434","General Trade","HANUMAN CHOWK",MA
"SGST A/C","","","General Trade","Unassigned",MA
"CGST A/C","","","General Trade","Unassigned",MA
"IGST A/C","","","General Trade","Unassigned",MA
"NARESH PRO STORE - KEDDARPURAM","MDDA","9897353355","General Trade","FUWARA CHOWK",MA
"TRENZ GIFT & FASHION ARCADE","DHARAMPUR","9897455133","General Trade","FUWARA CHOWK",MA
"JAGDAMBA STORES - CLEMENT TOWN","CLEMENT TOWN","9690098430","General Trade","CLEMENT TOWN",MA
"INDRA PROV STORE - RACE COURSE","DOBHI CHOWK SE ANDER, AFTER BISHT MEDICAL STORE","9897092529","General Trade","RACE COURSE",MA
"SUNIL COSMETICS - RAIPUR","RAIPUR ROAD","8279323772","General Trade","RAIPUR",MA
"GUPTA AGENCIES","""325, PATEL NAGAR""","05","General Trade","Unassigned",MA
"GUPTA BAKERS & GENERAL STORE","BALLUPUR CHOWK","9634300374","General Trade","KAULAGARH",MA
"GOVINDA STORE - GOVIND GARH","GOVIND GARH","9359206387","General Trade","ITBP-GOVIND GARH",MA
"KUNAL PRO STORE - PATEL NAGAR","OPP GULATI SWEETS SHOP","","General Trade","Unassigned",MA
"THE NEST REAL WORLD - CLEMENT TOWN","GURU NANAK ROAD, SUBHASH NAGAR","9410359644","General Trade","CLEMENT TOWN",MA
"CESS A/C","","","General Trade","Unassigned",MA
"NEW UNIVERSAL DEPT - RAJIV NAGAR","""RAJIVE NAGAR, HARIDWAR ROAD""","05","General Trade","9758937614",MA
"CHAUDHARY GEN - SUBHASH NAGAR","PRADEEP CHAUDHARY SUBHASH NAGAR","","General Trade","CLEMENT TOWN",MA
"SHREE RAMA MEDICAL - KEDARPURAM","KEDARPURAM","9897258779","General Trade","FUWARA CHOWK",MA
"POOJA GEN STORE - PREMNAGAR","PREM NAGAR","","General Trade","PREM NAGAR",MA
"NARENDR MEDICOS - SAHARANPUR CHOWK","SAHARANPUR CHOWK","","General Trade","HANUMAN CHOWK",MA
"KANHA JI - ANURAG CHOWK","ANURAG CHOWK","8909708877","General Trade","ITBP-GOVIND GARH",MA
"LAXMI MEDICAL STORE - MATA MANDIR","AFTER RAILWAY CROSSING","8006435816","General Trade","RACE COURSE",MA
"ADDITIONAL CESS A/C","","","General Trade","Unassigned",MA
"RATES & TAXES A/C","","","General Trade","Unassigned",MA
"KIRAN MEGA MARKET - PREM NAGAR","PREM NAGAR","6399760001","General Trade","PREM NAGAR",MA
"SAI GOODS - NESHVILLA ROAD","NESHVILLA ROAD","8755458013","General Trade","NESHVILLA ROAD",MA
"GUPTA PRO STORE - DHARAMPUR","NEHRU COLONY","9758187983","General Trade","FUWARA CHOWK",MA
"NEEDS CASH AND CARRY","OPP SIRMOUR MARG RAJENDRA NAGAR","9557771117","General Trade","ZSHOP CLOSED",MA
"SGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",MA
"CGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",MA
"IGST (REVERSE CHARGE) A/C","","","General Trade","Unassigned",MA
"ADARSH BAKERS - RAIPUR","RAIPUR","9756104979","General Trade","RAIPUR",MA
"SATENDER SINGH RAWAT - DHARAMPUR","NEAR REWTI NURSING HOME, DHARAMPUR","","General Trade","DHARAMPUR 2nd",MA
"A S ASSOCIATES - RISPANA PULL","""G FLOOR, D TOWERTZ, RISPINAPUL","248001","General Trade","15",MA
"EXPIRY FROM NIVEA - 1","GODOWN","","General Trade","ZRING ROAD",MA
"MAHAVEER STORE - MITRALOK COLONY","MITRALOK COLONY","9927336289","General Trade","ITBP-GOVIND GARH",MA
"SOLANKI STORE - SD ROAD","IT PARK",""8057540055","General Trade","9720232295"",MA
"KASHISH STORES - PANDITWARI","PANDITWARI",""9412915509","General Trade","9897001409"",MA
"ELEGANCE - SHARNIMAL BAZAR","SHARNIMAL BAZAR","","General Trade","ZNPA",MA
"NEW PRAKASH - KARANPUR","CEMENT ROAD","9897015112","General Trade","KARANPUR",MA
"TURTLE RETAIL VENTURES - RAJPUR","""163A, GROUND FLOOR"", ""RAJPUR ROAD","Uttarakhand","General Trade","05",MA
"ADITIYA DEPT. STORE - PANDITVARI","PANDITVARI","9410975091","General Trade","PANDITVARI",MA
