name,address,phone,type,delivery_route,beat_name,team_id
"KRISHNA MART","SEWLA KALA, SEWLA KALA","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"SONU KANGAN","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"WAKHRA COLLECTION","PREMNAGAR, PREMNAGAR","","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"RAJU PROV STORE","SEWLA KALA, SEWLA KALA","+919897116972","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"PAWAN KUMAR & BROTHERS","RAJPUR, MDDA PARK","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"KANISHKA COSMETICS","DAKRA, DAKRA","+919690408296","General Trade","KAULAGARH","KAULAGARH",JA
"DOBHAL MEDICAL","PREMNAGAR, PREMNAGAR","","General Trade","NPA","NPA",JA
"DURGA COSMETIC","PREMNAGAR, PREMNAGAR","+918791368468","General Trade","PREM NAGAR","PREM NAGAR",JA
"RUBI MEDICOS","SHIMLA BYPASS, SHIMLA BYPASS","+917500524428","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"BUY FRESH","CHANDERBANI GST, CHANDERBANI","+917618300061","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"HONEY MONEY MART","CLEMENT TOWN, CLEMENT TOWN","+918800127602","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"OM VARIETY STORE","THDC COLONY, THDC COLONY","","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"NATIONAL MEDICOS","MANDAKANI VIHAR, MANDAKANI VIHAR, NOT MATCHED","+919759856274","General Trade","SD ROAD","SD ROAD",JA
"VALUE BASKET","CHANDARBANI, CHANDARBANI","","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"OLD TOUCH WOOD CHEMSIT","DILARAM, DILARAM CHOWK","","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"GAURI HEALTH PLUS","DHARAMPUR, DHARAMPUR","","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"NEW RAJ STORE","TURNER ROAD, TURNER ROAD","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"GANESH SUPER MARKET","KARGI, KARGI","+919084833077","General Trade","KARGI","KARGI",JA
"PREAM GEN STORE","PREMNAGAR, PREMNAGAR","+918077544284","General Trade","PREM NAGAR","PREM NAGAR",JA
"JOLLY MEDICAL","RAIPUR, RAIPUR","","General Trade","RAIPUR","RAIPUR",JA
"PEARL & BAKERY","MOHINI ROAD, MOHINI ROAD","+919497738000","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"SUNIL UNCLE -","CHAMAN VIHAR","","General Trade","OTHER","OTHER",JA
"RAMOLA DEPARTMENTAL STORE","RAIPUR, GUJJROWALA CHOWK","+919760345032","General Trade","RAIPUR","RAIPUR",JA
"SINGH MEDICAL","SD ROAD, SD ROAD","","General Trade","NPA","NPA",JA
"OLD SHOP STATION","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"DEEP STORE","RAJPUR ROAD, RAJPUR ROAD","+919536515151","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"BALODI MEDICOS","NESHVILLA ROAD, NESHVILLA ROAD","+919870671384","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"CHAUDHARY MEDICOS","RAJPUR ROAD, OPP FRESH MART","+919319114401","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"SHANTI PLASTIC","NESHVILLA ROAD, NESHVILLA ROAD","+919897210771","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"SIDHBALI MEDICOS","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"PWP","","","General Trade","Unassigned","Unassigned",JA
"AM MEDICOS","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
"BABA MEDICAL","DAKRA, DAKRA","","General Trade","KAULAGARH","KAULAGARH",JA
"RAITHWAN MEDICAL","SD ROAD, SD ROAD","","General Trade","SD ROAD","SD ROAD",JA
".MADHAV ASSOCIATES","DEBTOR, DDN","+917056757050","General Trade","OTHER","OTHER",JA
"CROWN TRADERS","SHRIMAL BAZAR, SHRIMAL BAZAR","+918449088942","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"EXPIRY FROM CUSTOMER","DDN","","General Trade","OTHER","OTHER",JA
"KUMAR STORE","RAJPUR ROAD","+919837034784","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"OLD HIMALIYAN EAST & WEST -RISPINA","CITY CHEMSIT","+917060738700","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"KUMAR SONS","EC ROAD, MUNCIPAL ROAD","+910135265310","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"BANSI STORE- RAJPUR ROAD","JHAKHAN","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"SHIVAY FOODS","JHAKHAN, OPP INDIAN PETROL PUMP","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"RC STORE","EC ROAD, EC ROAD","+919897253246","General Trade","KARANPUR","KARANPUR",JA
"RAJ STORE","CANAL ROAD, GANGOTRI VIHAR 9897954760","+919897954760","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"ROZAANA","IT PARK, IT PARK","+917300537504","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"PUNDIR MEDICAL","JHAKHAN, OPP PETROL PUMP","+919756223424","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"DURGA DEPARTMENTAL STORE","JHANDA, JHANDA BAZAR","+917895645004","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"ANNAPURNA STORE","SD ROAD, PACIFIC GOLF STATE","+917900232455","General Trade","SD ROAD","SD ROAD",JA
"SUNRISE MART","JOLLY GRANT, JOLLY GRANT","+918126964122","General Trade","RISHIKESH","RISHIKESH",JA
"SANJAY PROV STORE","DL ROAD, DL ROAD","+919897144630","General Trade","KARANPUR","KARANPUR",JA
"OLD SUPER STORE","KAULAGARH ROAD, NEAR PNB BANK","+919897491520","General Trade","PANDITVARI","PANDITVARI",JA
"SIDHI COLLECTION","RAJENDER NAGAR, RAJENDER NAGAR","","General Trade","PANDITVARI","PANDITVARI",JA
"KPS ENTERPRISES","KARGI, KARGI","+917897869786","General Trade","KARGI","KARGI",JA
"PRATEEK ASSOCIATES","SAI LOK PHASE - II","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"GANPATI MEDICAL","GMS ROAD, GMS ROAD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"KALA RAM PYARE LAL","PALTAN BAZAR, PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"MAHAWAR ZARI CENTER","PALTAN BAZAAR, PALTAN BAZAAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"ANAND ENTERPRISES","PALTAN BAZAR, PALTAN BAZAR","+919897576686","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"SANT SINGH HARMOHINDER SINGH","PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"CHICHU STORE","TURNER ROAD, TURNER ROAD","+917017253101","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"DAILY BUY","GMS ROAD, GMS ROAD","+918449764937","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"ABHILASHA GARMENTS","JOHRI GAON, JOHRI GAON","+919997312310","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"THE DUCK STORE","MUSSOORIEE D, DEHRADUN","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"YESKA CORNER","SD ROAD, UPPER SD ROAD","+919410900397","General Trade","SD ROAD","SD ROAD",JA
"BUZZ STORE","SD ROAD, IT PARK ROAD","+919837620256","General Trade","SD ROAD","SD ROAD",JA
"MAHAWAR SONS","PALTAN BAZAR, PALTAN BAZAR","+919897681584","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"VISHAL GENERAL STORE","DDN, DEHRADUN","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"FRESH N EASY","CROSS ROAD MALL","+919634274290","General Trade","FRESH N EASY","FRESH N EASY",JA
"SWAGAT SUPER STORE","GMS ROAD, GMS ROAD","","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"SUMIT","ZM","","General Trade","OTHER","OTHER",JA
"KUMAR STORE SPARKLE","RAJPUR ROAD","+917906125870","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"OLD SHEESHMAHAL KANGAN STORE","KOTW, NEAR MA COLLECTION 8755335361","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"SRISHTI SUPER MARKET","NEAR IMA CHAKROTA ROAD","+919897774900","General Trade","PANDITVARI","PANDITVARI",JA
"RAJU GEN STORE","KOTWALI, A.K ROAD","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"GOOD LOOKS","PALTAN BAZAR, PALTAN BAZAR","+918126459464","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"OLD RINKU PAN BHANDAR","MOHINI ROAD, MOHINI ROAD","+919917627850","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"DOON FAMILY STORE","RING ROAD, RING ROAD","+918218859379","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"SR TRADERS","JOGGIWALA, JOGGIWALA","+918960257442","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"ARIGATO STORE","EC ROAD, EC ROAD","+916396132299","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"CITY CHEMIST","NEHRU COLONY, FUWARA CHOWK","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"TOWN PHARMACY & OPTICALS","DHARAMPU, NEHRU COLONY NEAR FUWARA CHOWK","+919219653521","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"OLD HEALTH N CARE","EC ROAD DHARAMPUR","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"M S SAVITA ASWAL","RING ROAD, RING ROAD","+919997467435","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"NITESH GIFT GALLERY","MIYAWALA, MIYAWALA","","General Trade","RAIPUR","RAIPUR",JA
"HIMANSHU MARWAH","DDN","","General Trade","SD ROAD","SD ROAD",JA
"MODERN GEN. STORE","KARANPUR, KARANPUR","+919837425725","General Trade","KARANPUR","KARANPUR",JA
"VISHAL SANCHAYAN","KARANPUR, DL ROAD","+919897282314","General Trade","KARANPUR","KARANPUR",JA
"ANUPAM STORE","DL ROAD, KARANPUR","+918791234544","General Trade","KARANPUR","KARANPUR",JA
"POONAM GEN STORE","KARANPUR, KARANPUR","","General Trade","KARANPUR","KARANPUR",JA
"MINI MART STORE","SD ROAD, OPP. TIBITI COLONY","+919927331790","General Trade","SD ROAD","SD ROAD",JA
"SHIMMER & MAGIC","SD ROAD, SD ROAD","+919897031184","General Trade","SD ROAD","SD ROAD",JA
"PERFECT PRICE STORE","DAKRA, DAKRA","+919557637007","General Trade","KAULAGARH","KAULAGARH",JA
"YOGESH COSMETICS -DAKRA","DAKRA","","General Trade","KAULAGARH","KAULAGARH",JA
"KWALITY GALLERY","DAKRA, ALLAHABAD BANK","+917088336666","General Trade","KAULAGARH","KAULAGARH",JA
"SHIKHA COSMETIC","PREM NAGAR, NEAR AXIS BANK ATM","","General Trade","PREM NAGAR","PREM NAGAR",JA
"SHUBHAM GEN STORE","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"RAKHI FANCY STORE","PALTAN BAZAAR, PALTAN BAZAR","","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"RAO GEN STORE","GMS ROAD, BALLUPUR CHOWK","+919719452936","General Trade","KAULAGARH","KAULAGARH",JA
"OLD GURU KRIPA FAMILY CAMP","BALLUP, BALLUPUR CHOWK","+919897346932","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"FRESH TOWN","CLEMENT TOWN, CLEMENT TOWN","+917255023011","General Trade","SHOP CLOSED","SHOP CLOSED",JA
"WELCOME STORE","POST OFFICE ROAD, NEAR BUDDHA TEMPLE","","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
"DIVINE VENTURES","GMS ROAD, BALLUPUR CHOWK","+917599788888","General Trade","KAULAGARH","KAULAGARH",JA
"OM BENGAL COSMETIC","DEHRA KHAS, DEHRA KHAS","+919456666657","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"RASHAN BASKET","LAL PUL, LALPUL","+917253053030","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"KRISHNA GIFT & COSMETICS","THDC, THDC COLONY","+917302154833","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"HIMANK PHARMACEUTICALS PVT LTD","NEAR KARGI CHOWK","+919720204600","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"R.S ENTERPRISES","KARGI CHOWK, KARGI CHOWK","+919149293959","General Trade","KARGI","KARGI",JA
"SSG ENTERPRISES","KARGI, DURGA MANDIR BANJARAWALA","+917024638223","General Trade","KARGI","KARGI",JA
"OM ASSOCIATES","KARGI, KARGI","+919411340606","General Trade","KARGI","KARGI",JA
"SHANTALA DEPT STORE","RAIPUR, RAIPUR","","General Trade","RAIPUR","RAIPUR",JA
"ANKIT GEN STORE","DHARAMPUR, 7895372222","+919259163672","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"SHASHI SHIV","HANUMAN CHOWK, HANUMAN CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"DAILY NEEDS","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"SHIV SHAKTI","KAULAGARH, KAULAGARH","","General Trade","KAULAGARH","KAULAGARH",JA
"BALAJI MEDICAL","PREMNAGAR, SUDDHOWALA CHOWK","+919837425683","General Trade","PREM NAGAR","PREM NAGAR",JA
"ND TRADING COMPANY","RAJEEV NAGAR","+919897999089","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"ILYAS MEERUT KANCHI","MACCHI BAZAR, MACCHI BAZAR","+919997322231","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"BA LAFZ AS ASSOCIATES","ASSOCIATES","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"ASIF BEAUTY","BHANIYA WALA, BHANIYAWALA","","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"AKSHAT JAIN","DDN, DDN","","General Trade","DHARAMPUR 2ND","DHARAMPUR 2ND",JA
"BALAJI COSMETIC","SAHARANPUR CHOWK, SAHARANPUR CHOWK","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"AMAN FASHION CORNER","KOTWALI","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"FASHION CENTER","PALTAN BAZAR, NEAR KOTWALI","+917579011739","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"ANUSHA COS.","RING ROAD, RING ROAD","","General Trade","HARRAWALA","HARRAWALA",JA
"NEEDS THE STORE","DHARAMPUR, DHARAMPUR","","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"BEST ONE SUPER STORE","MATA MANDIR, MATA MANDIR ROAD","","General Trade","AJABPUR RACE COURSE","AJABPUR RACE COURSE",JA
"OLD MEENARIKA CORE SERVICES","DDN, DEHRADUN","","General Trade","FUWARA CHOWK","FUWARA CHOWK",JA
"ASHTA SUPERMARKET","ROCK VALLEY APPARTMENT","","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"SAKSHI ENTERPRISES","MUSSORIE ROAD, MUSSORIE ROAD","","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"SPARKLE COSMETIC","TAPOVAN, NEAR NALAPANI BUSSTAND","","General Trade","RAIPUR","RAIPUR",JA
"JUBLI GEN STORE","TAPOVAN ROAD, TAPOVAN ROAD","+919997420072","General Trade","RAIPUR","RAIPUR",JA
"RAM RATAN PATANJALI STORE","TAPOVAN, TAPOVAN","","General Trade","RAIPUR","RAIPUR",JA
"SD STORE","NESHVILLA ROAD, OM KARA ROAD","+919897477269","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"HUNGRY HELPER'S","SD ROAD, SD ROAD","+919410991183","General Trade","SD ROAD","SD ROAD",JA
"ANMOL STORE","ANMOL MARKET, ANMOL MARKET","+919897865600","General Trade","PANDITVARI","PANDITVARI",JA
"JAIN MEDICOS","BALLIWALA CHOWK, BALLIWALA","+917417445344","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"EVERYDAY GROCERY'S","ITBP ROAD, ITBP ROAD","+919690003130","General Trade","ITBP-GOVIND GARH","ITBP-GOVIND GARH",JA
"HINDWAN DEPT","KARGI, KARGI 8477991115","+918477991115","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"LIV MART","KARGI ROAD, DEHRA KHAS","+919069065900","General Trade","DEHRA KHAS","DEHRA KHAS",JA
"SHRI RAMA ENTERPRISES","MOTHROWALA, MOTHROWALA ROAD","","General Trade","KARGI","KARGI",JA
"SANTUSTI SUPERVALUE STORE","TUNWALA, TUNWALA","+918126792614","General Trade","HARRAWALA","HARRAWALA",JA
"VINAYAK CROCKERY & HOME NEEDS","GMS ROAD BALLUPUR","+918755920003","General Trade","KAULAGARH","KAULAGARH",JA
"SAI GOODS","NESHVILLA ROAD, NESHVILLA ROAD","+918755458013","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"SHAH DAIRY","SD ROAD, SD CROSSING","","General Trade","RAIPUR","RAIPUR",JA
"MINI MART","NESHVILLA ROAD, NESHVILLA ROAD","+919412347199","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"NARULA STORE","NESHVILLA ROAD, NEAR MINI STORE","+919917119711","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"DOON STORE","KANDOLI, KANDOLI","+917505823305","General Trade","RAJPUR LOWER","RAJPUR LOWER",JA
"KWALITY STORE","SD ROAD, SD ROAD","+919897558723","General Trade","SD ROAD","SD ROAD",JA
"OLD KOMAL COSMETICS","RAIPUR, RAIPUR CHOWK","+917830153780","General Trade","RAIPUR","RAIPUR",JA
"SHUBHAM DEPT. STORE","RAIPUR, RAIPUR","+919870727910","General Trade","RAIPUR","RAIPUR",JA
"OLD RIDDHI SIDDHI MART","RAIPUR, RAIPUR","+918756631953","General Trade","RAIPUR","RAIPUR",JA
"KASHISH STORES","PANDITWARI, PANDITWARI","+919412915509","General Trade","PANDITVARI","PANDITVARI",JA
"TP STORE","PANDITVARI, PANDITVARI","+919897319741","General Trade","PANDITVARI","PANDITVARI",JA
"MURARI GEN STORE","LOVELY MARKET, LOVELY MARKET","","General Trade","PANDITVARI","PANDITVARI",JA
"SUSHIL DEPT.","TAPOVAN, TAPOVAN","","General Trade","RAIPUR","RAIPUR",JA
"SHARMA STORE","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"GURU KIRPA BANGLE STORE","PREMNAGAR, PREM NAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"THE BEAUTY CORNER","RACE COURSE, NEAR NIRANKARI BHAWAN, LATE PAYMENT","+919634490990","General Trade","DOON HOSPITAL","DOON HOSPITAL",JA
"REETHA COSMETIC","PALTAN, PALTAN BAZAR","","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"ZULEKHA FASHIONS","KOTWALI, KOTWALI","+919837109222","General Trade","HANUMAN CHOWK","HANUMAN CHOWK",JA
"ANURAG AGGARWAL","","","General Trade","SD ROAD","SD ROAD",JA
"J.K. GIFT EMPORIUM","KASHIPUR, KASHIPUR","","General Trade","RISHIKESH","RISHIKESH",JA
"KARTIK GEN STORE","LOVELY MARKET, LOVELY MARKET","","General Trade","PANDITVARI","PANDITVARI",JA
"SINGH COLLECTION","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"PAYAL COSMETICS","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"KIRAN MEGA MARKET","PREMNAGAR, PREM NAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"JUST TRADERS","PALTAN, CHAT WALI GALI","+919536425621","General Trade","PALTAN BAZAR","PALTAN BAZAR",JA
"HEALTH & CARE PHARMACY","DHARAMPUR, NEAR DENA BANK. BALBIR ROAD","+919808121706","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"HARI PROV STORE","MOHINI ROAD, MOHINI ROAD","+918635080598","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"KOMAL COSMETICS","NEHRU COLONY, 6397379162","","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"DEEPAK GEN. STORE","DHARAMPUR, AGGARWAL MEDICAL","+919837383329","General Trade","DHARAMPUR 1ST","DHARAMPUR 1ST",JA
"SUPER VALUE MART","MIYAWALA, MIYAWALA","+919716599447","General Trade","HARRAWALA","HARRAWALA",JA
"SHANTANU SATYAKAM VENTURES","RROAD, RING ROAD","","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"GAYATRI POOJA BHANDAR","RING ROAD, RING ROAD","+917088330088","General Trade","MOHKAMPUR","MOHKAMPUR",JA
".ALL DAY MART","RING ROAD, RING ROAD","+918077020445","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"JAGDISH CHAUHAN VENTURES","RING ROA, RING ROAD","+919818053510","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"JAGDAMBA MEDICOS","DHARAMPUR, DHARAMPUR","955725975","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"POKHRIYAL PHARMACY","DHARAMPUR, DHARAMPUR","+917983858859","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"LAXMI DEPT. STORE","MDDA KEDARPURAM, MDDA KEDARPURAM","+919557785065","General Trade","MOHKAMPUR","MOHKAMPUR",JA
"YOUNG GUY'S COLLECTION","MIYAWALA, MIYAWALA","+918909531647","General Trade","HARRAWALA","HARRAWALA",JA
"VAIBHAV LUXMI ENTERPRISES","DDN, CHUKKUWALA","+919808352208","General Trade","NESHVILLA ROAD","NESHVILLA ROAD",JA
"AVTAR STORES","JAKHAN, JAKHAN","+919837119120","General Trade","RAJPUR UPPER","RAJPUR UPPER",JA
"PUNDIR MEDICAL","SD ROAD, NEAR SHRI KRISHNA WEDDING POINT","+919997822300","General Trade","SD ROAD","SD ROAD",JA
"NEGI MEDICOS","MANDAKANI VIHAR, MANDAKANI VIHAR","+916398452570","General Trade","SD ROAD","SD ROAD",JA
"SANGAM GEN STORE","PREMNAGAR, PREMNAGAR","","General Trade","PREM NAGAR","PREM NAGAR",JA
"CHOUDHARY COMMU.","CLEMENT TOWN, CLEMENT TOWN","","General Trade","PATEL NAGAR","PATEL NAGAR",JA
"LIFE LINE CHEMIST","MAJRA, MAJRA","+918392961734","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"KRISHNA MEDICOS","CHANDRBANI, CHANDRBANI, ONLY CASH","","General Trade","CLEMENT TOWN II","CLEMENT TOWN II",JA
"GUPTA STORE","SUBHASH NAGAR, SUBHASH NAGAR","989703223","General Trade","CLEMENT TOWN","CLEMENT TOWN",JA
